rho	mt	ms	pve	alpha	power
75	25	25	0.9	0.05	0.945
75	25	25	0.9	0.001	0.665
75	25	25	0.9	1e-05	0.26
75	25	25	1	0.05	0.96
75	25	25	1	0.001	0.75
75	25	25	1	1e-05	0.335
0	25	50	0.1	0.05	0.42
0	25	50	0.1	0.001	0.04
0	25	50	0.1	1e-05	0
0	25	50	0.2	0.05	0.64
0	25	50	0.2	0.001	0.17
0	25	50	0.2	1e-05	0.015
0	25	50	0.3	0.05	0.79
0	25	50	0.3	0.001	0.34
0	25	50	0.3	1e-05	0.07
0	25	50	0.4	0.05	0.89
0	25	50	0.4	0.001	0.5
0	25	50	0.4	1e-05	0.2
0	25	50	0.5	0.05	0.92
0	25	50	0.5	0.001	0.64
0	25	50	0.5	1e-05	0.255
0	25	50	0.6	0.05	0.975
0	25	50	0.6	0.001	0.745
0	25	50	0.6	1e-05	0.36
0	25	50	0.7	0.05	0.985
0	25	50	0.7	0.001	0.865
0	25	50	0.7	1e-05	0.475
0	25	50	0.8	0.05	0.995
0	25	50	0.8	0.001	0.9
0	25	50	0.8	1e-05	0.58
0	25	50	0.9	0.05	0.995
0	25	50	0.9	0.001	0.92
0	25	50	0.9	1e-05	0.745
0	25	50	1	0.05	1
0	25	50	1	0.001	0.98
0	25	50	1	1e-05	0.8
25	25	50	0.1	0.05	0.35
25	25	50	0.1	0.001	0.035
25	25	50	0.1	1e-05	0.005
25	25	50	0.2	0.05	0.625
25	25	50	0.2	0.001	0.155
25	25	50	0.2	1e-05	0.01
25	25	50	0.3	0.05	0.815
25	25	50	0.3	0.001	0.415
25	25	50	0.3	1e-05	0.095
25	25	50	0.4	0.05	0.88
25	25	50	0.4	0.001	0.495
25	25	50	0.4	1e-05	0.15
25	25	50	0.5	0.05	0.94
25	25	50	0.5	0.001	0.68
25	25	50	0.5	1e-05	0.23
25	25	50	0.6	0.05	0.98
25	25	50	0.6	0.001	0.785
25	25	50	0.6	1e-05	0.33
25	25	50	0.7	0.05	0.99
25	25	50	0.7	0.001	0.83
25	25	50	0.7	1e-05	0.52
25	25	50	0.8	0.05	0.99
25	25	50	0.8	0.001	0.91
25	25	50	0.8	1e-05	0.62
25	25	50	0.9	0.05	1
25	25	50	0.9	0.001	0.945
25	25	50	0.9	1e-05	0.665
25	25	50	1	0.05	0.99
25	25	50	1	0.001	0.905
25	25	50	1	1e-05	0.755
50	25	50	0.1	0.05	0.52
50	25	50	0.1	0.001	0.085
50	25	50	0.1	1e-05	0.005
50	25	50	0.2	0.05	0.68
50	25	50	0.2	0.001	0.195
50	25	50	0.2	1e-05	0.015
50	25	50	0.3	0.05	0.81
50	25	50	0.3	0.001	0.355
50	25	50	0.3	1e-05	0.075
50	25	50	0.4	0.05	0.93
50	25	50	0.4	0.001	0.57
50	25	50	0.4	1e-05	0.17
50	25	50	0.5	0.05	0.97
50	25	50	0.5	0.001	0.675
50	25	50	0.5	1e-05	0.24
50	25	50	0.6	0.05	0.995
50	25	50	0.6	0.001	0.835
50	25	50	0.6	1e-05	0.39
50	25	50	0.7	0.05	0.985
50	25	50	0.7	0.001	0.9
50	25	50	0.7	1e-05	0.57
50	25	50	0.8	0.05	0.99
50	25	50	0.8	0.001	0.93
50	25	50	0.8	1e-05	0.65
50	25	50	0.9	0.05	1
50	25	50	0.9	0.001	0.91
50	25	50	0.9	1e-05	0.745
50	25	50	1	0.05	1
50	25	50	1	0.001	0.955
50	25	50	1	1e-05	0.835
75	25	50	0.1	0.05	0.435
75	25	50	0.1	0.001	0.08
75	25	50	0.1	1e-05	0.01
75	25	50	0.2	0.05	0.69
75	25	50	0.2	0.001	0.235
75	25	50	0.2	1e-05	0.025
75	25	50	0.3	0.05	0.82
75	25	50	0.3	0.001	0.405
75	25	50	0.3	1e-05	0.105
75	25	50	0.4	0.05	0.96
75	25	50	0.4	0.001	0.62
75	25	50	0.4	1e-05	0.195
75	25	50	0.5	0.05	0.975
75	25	50	0.5	0.001	0.745
75	25	50	0.5	1e-05	0.335
75	25	50	0.6	0.05	0.98
75	25	50	0.6	0.001	0.865
