n0	rho	mt	ms	pve	Parameter	N	Bias	ModelVar	EmpiricalVar
1000	0	50	0	0	a	2000	-0.000833225465822279	0.000765423349135326	0.000772453150696072
1000	0	50	0	0	S11	2000	1.00326668306505	0.00201756534434668	0.0021013108904015
1000	0	50	0	0	S12	2000	-0.00126005246534886	0.00100052000357087	0.000957250791908075
1000	0	50	0	0	S22	2000	0.997326059671349	0.000995692436846445	0.000905682071385846
1000	25	50	0	0	b.biv	2000	0.000690039176929947	0.00148802656312498	0.00145845678454997
1000	25	50	0	0	b.uni	2000	0.000686448260315033	0.00153432682638021	0.00148409396646339
1000	25	50	0	0	a	2000	-0.000284673681683986	0.000765476898372736	0.000788266595836811
1000	25	50	0	0	S11	2000	0.997051003538867	0.00198762529373524	0.00161218050060592
1000	25	50	0	0	S12	2000	0.246296648236178	0.000994369424015741	0.000976203185996273
1000	25	50	0	0	S22	2000	0.997165995710061	0.000995323122223367	0.000914872260781688
1000	50	50	0	0	b.biv	2000	0.000795591255557836	0.00134431359387638	0.00141572500838452
1000	50	50	0	0	b.uni	2000	0.00117230211107445	0.0015369207066561	0.00160458473491463
1000	50	50	0	0	a	2000	0.000205520166138098	0.000767677287479327	0.000793132617040995
1000	50	50	0	0	S11	2000	1.00042661864083	0.00194147381562267	0.00167710154663398
1000	50	50	0	0	S12	2000	0.501299875783734	0.00100345410221033	0.000862990872719283
1000	50	50	0	0	S22	2000	1.00275139360114	0.001006390884299	0.000821337214923386
1000	75	50	0	0	b.biv	2000	0.000761998119476056	0.00110902154778002	0.00110081997945312
1000	75	50	0	0	b.uni	2000	0.000618473679467926	0.00154198838379648	0.00153382329213756
1000	75	50	0	0	a	2000	0.000896053888247971	0.000766476159306379	0.000722010561556006
1000	75	50	0	0	S11	2000	1.00329737924485	0.00169624009599267	0.00160058270108649
1000	75	50	0	0	S12	2000	0.750529818243857	0.00100210306731854	0.000915478739976573
1000	75	50	0	0	S22	2000	0.998294147225735	0.000997573552652706	0.000893918164544769
1000	0	50	25	0	b.biv	2000	-0.000138604686967051	0.000750644321444599	0.000759262658804275
1000	0	50	25	0	b.uni	2000	-0.000137449043214314	0.000753521461666999	0.000758470974624174
1000	0	50	25	0	a	2000	0.000120667610061237	0.000503326025057732	0.000502686819811356
1000	0	50	25	0	S11	2000	0.988782265082637	0.000978465133344224	0.00071944345101228
1000	0	50	25	0	S12	2000	0.000743198953341307	0.00098429695307456	0.000906585512209898
1000	0	50	25	0	S22	2000	0.996722215195294	0.000662802021356764	0.000701151047236318
1000	25	50	25	0	b.biv	2000	-0.0011753284289773	0.000740828733816269	0.000697407402165062
1000	25	50	25	0	b.uni	2000	-0.00112273898703496	0.000759918500850817	0.000720006202573601
1000	25	50	25	0	a	2000	-0.00015474002178562	0.000497689794396079	0.000487100426684533
1000	25	50	25	0	S11	2000	0.9984018207514	0.000996277005304709	0.00085173277161772
1000	25	50	25	0	S12	2000	0.249639614648189	0.000915742836292149	0.000834006245654785
1000	25	50	25	0	S22	2000	0.996109003892302	0.000661568662887994	0.000742415207745364
1000	50	50	25	0	b.biv	2000	-0.000631821287390964	0.000688725632001014	0.000654327516831064
1000	50	50	25	0	b.uni	2000	-0.000983249160748539	0.000760085962342485	0.000739262838419366
1000	50	50	25	0	a	2000	0.000166926459887051	0.000483054027518488	0.000470414089392168
1000	50	50	25	0	S11	2000	0.997295825294449	0.000974164028609654	0.000805773630504794
1000	50	50	25	0	S12	2000	0.498365343026903	0.000738138734463887	0.000571926434684663
